method,n,mean_runtime_s,median_runtime_s,n_runs
dwave_hybrid,8,13.232834657033285,13.23288893699646,3
dwave_qpu,8,1.9921555519104004,1.36812424659729,3
exact,8,0.0006998380025227333,0.0005061626434326,3
sa,8,0.7663485209147135,0.7463421821594238,3
tabu,8,8.001153866449991,8.00110912322998,3
dwave_hybrid,12,13.860374689102173,13.288939952850342,3
dwave_qpu,12,1.3410707314809163,1.336095094680786,3
exact,12,0.004701058069864867,0.0035042762756347,3
sa,12,1.3174026012420654,1.320728063583374,3
tabu,12,8.001089096069336,8.001044273376465,3
dwave_hybrid,16,13.294000387191772,13.263530969619753,3
dwave_qpu,16,1.608627716700236,1.5594947338104248,3
exact,16,0.06046271324157713,0.0602130889892578,3
sa,16,1.658830722173055,1.6287891864776611,3
tabu,16,8.00135612487793,8.001190900802612,3
dwave_hybrid,20,13.687305688858032,13.737755060195925,3
dwave_qpu,20,1.8228779633839924,1.800508737564087,3
exact,20,1.2804114023844402,1.2792391777038574,3
sa,20,2.57440455754598,2.613419771194458,3
tabu,20,8.001226107279459,8.00121021270752,3
