method,n,mean_runtime_s,median_runtime_s,n_runs
dwave_hybrid,10,13.471723000208536,13.205096006393433,3
dwave_qpu,10,1.6820138295491536,1.7771971225738523,3
exact,10,0.002468744913736933,0.0015830993652343,3
sa,10,0.9653830528259277,0.9587562084197998,3
tabu,10,8.001444260279337,8.001614093780518,3
dwave_hybrid,20,13.36867070198059,13.275094985961914,3
dwave_qpu,20,1.8297073046366374,1.8209099769592283,3
exact,20,1.282329559326172,1.2806360721588137,3
sa,20,2.3726865450541177,2.4007458686828613,3
tabu,20,8.001604954401651,8.001791000366211,3
dwave_hybrid,30,13.391240358352661,13.273996114730837,3
dwave_qpu,30,2.445336659749349,2.3755548000335693,3
sa,30,4.686246951421102,4.741323947906494,3
tabu,30,8.001433531443277,8.001411199569702,3
dwave_hybrid,40,13.658772389094034,13.63000226020813,3
sa,40,7.472200314203898,7.313528060913086,3
tabu,40,8.001684427261353,8.00160813331604,3
