instance_key,method,run_label,A,B,E_best,E_best_improved,chain_strength,engine,gap_F_imp_vs_exact,has_exact_ref,imp_E_qubo,imp_F_markowitz,imp_feasible,imp_penalty,imp_sum_z,improve_engine,n,num_reads,q,qpu_solver,raw_E_qubo,raw_F_markowitz,raw_feasible,raw_penalty,raw_sum_z,reason,runtime_s,solver_info,status,time_limit,used_embedding
"(10, 5, 0.2, 'synthetic_factor', 2025)",dwave_hybrid,first,0.88350124747203118,5,-22.088805861447536,-22.088805861447536,,dwave.Hybrid,0,True,-22.088805861447536,-0.0012746746467568,True,0,5,python.local_descent,10,,0.20000000000000001,,-22.088805861447536,-0.0012746746467568,True,0,5,,14.182093143463137,"{'qpu_access_time': 464508, 'charge_time': 9993221, 'run_time': 9993221, 'problem_id': '82a4313c-cf5b-411f-9a21-b92badbae592', 'problem_data_id': '31023153-9281-490a-8020-8dcaeaf7fbf3'}",ok,10,
"(10, 5, 0.2, 'synthetic_factor', 2025)",dwave_qpu,first,0.88350124747203118,5,-22.088805861447536,-22.088805861447536,2.7389804265768571,dwave.QPU,0,True,-22.088805861447536,-0.0012746746467568,True,0,5,python.local_descent,10,3000,0.20000000000000001,Advantage_system4.1,-22.088805861447536,-0.0012746746467568,True,0,5,,1.8180842399597168,"{'embedding_stats': {'mean_chain': 1.8, 'max_chain': 2, 'n_logical': 10}, 'timing': {'qpu_sampling_time': 431040.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 103.1, 'qpu_access_time': 446799.56, 'qpu_access_overhead_time': 7915.44, 'qpu_programming_time': 15759.56, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.0}",ok,,FixedEmbeddingComposite(minorminer cached)
"(10, 5, 0.2, 'synthetic_factor', 2025)",exact,second,0.88350124747203118,5,-22.088805861447536,-22.088805861447536,,dimod.ExactSolver,0,True,-22.088805861447536,-0.0012746746467568,True,0,5,python.local_descent,10,,0.20000000000000001,,-22.088805861447536,-0.0012746746467568,True,0,5,,0.0024938583374022999,,ok,,
"(10, 5, 0.2, 'synthetic_factor', 2025)",sa,first,0.88350124747203118,5,-22.088805861447536,-22.088805861447536,,neal.SA,0,True,-22.088805861447536,-0.0012746746467568,True,0,5,python.local_descent,10,,0.20000000000000001,,-22.088805861447536,-0.0012746746467568,True,0,5,,0.90532302856445324,,ok,,
"(10, 5, 0.2, 'synthetic_factor', 2025)",tabu,first,0.88350124747203118,5,-22.088805861447536,-22.088805861447536,,tabu,0,True,-22.088805861447536,-0.0012746746467568,True,0,5,python.local_descent,10,,0.20000000000000001,,-22.088805861447536,-0.0012746746467568,True,0,5,,8.0019397735595703,,ok,,
"(10, 5, 0.5, 'synthetic_factor', 2026)",dwave_hybrid,first,1.578341484060211,5,-39.41615524694852,-39.416155246948527,,dwave.Hybrid,0,True,-39.416155246948527,0.042381854556754202,True,0,5,python.local_descent,10,,0.5,,-39.416155246948527,0.042381854556754202,True,0,5,,13.027979850769045,"{'qpu_access_time': 535971, 'charge_time': 9986749, 'run_time': 9986749, 'problem_id': '001c817a-f3d2-495c-95f5-f823ecfa0f7c', 'problem_data_id': '1896d79f-d6ca-4b64-99f1-c3f75e85fe32'}",ok,10,
"(10, 5, 0.5, 'synthetic_factor', 2026)",dwave_qpu,first,1.578341484060211,5,-39.41615524694852,-39.416155246948527,4.9393255091687749,dwave.QPU,0,True,-39.416155246948527,0.042381854556754202,True,0,5,python.local_descent,10,3000,0.5,Advantage_system4.1,-39.416155246948527,0.042381854556754202,True,0,5,,1.4507601261138916,"{'embedding_stats': {'mean_chain': 1.8, 'max_chain': 2, 'n_logical': 10}, 'timing': {'qpu_sampling_time': 431040.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 103.1, 'qpu_access_time': 446799.16, 'qpu_access_overhead_time': 13353.84, 'qpu_programming_time': 15759.16, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.0}",ok,,FixedEmbeddingComposite(minorminer cached)
"(10, 5, 0.5, 'synthetic_factor', 2026)",exact,second,1.578341484060211,5,-39.41615524694852,-39.416155246948527,,dimod.ExactSolver,0,True,-39.416155246948527,0.042381854556754202,True,0,5,python.local_descent,10,,0.5,,-39.416155246948527,0.042381854556754202,True,0,5,,0.00096797943115229995,,ok,,
"(10, 5, 0.5, 'synthetic_factor', 2026)",sa,first,1.578341484060211,5,-39.416155246948492,-39.416155246948527,,neal.SA,0,True,-39.416155246948527,0.042381854556754202,True,0,5,python.local_descent,10,,0.5,,-39.416155246948527,0.042381854556754202,True,0,5,,1.0320699214935305,,ok,,
"(10, 5, 0.5, 'synthetic_factor', 2026)",tabu,first,1.578341484060211,5,-39.41615524694852,-39.416155246948527,,tabu,0,True,-39.416155246948527,0.042381854556754202,True,0,5,python.local_descent,10,,0.5,,-39.416155246948527,0.042381854556754202,True,0,5,,8.0007789134979248,,ok,,
