method,n,mean_runtime_s,median_runtime_s,n_runs
dwave_hybrid,10,13.471723000208536,13.205096006393433,3
dwave_qpu,10,1.6820138295491536,1.7771971225738523,3
exact,10,0.0014878908793130002,0.0010018348693846,3
sa,10,0.9653830528259277,0.9587562084197998,3
tabu,10,8.001444260279337,8.001614093780518,3
dwave_hybrid,20,13.36867070198059,13.275094985961914,3
dwave_qpu,20,1.8297073046366374,1.8209099769592283,3
exact,20,1.282329559326172,1.2806360721588137,3
sa,20,43.107875982920326,61.660563230514526,3
tabu,20,8.001604954401651,8.001791000366211,3
dwave_hybrid,30,13.391240358352661,13.273996114730837,3
dwave_qpu,30,2.445336659749349,2.3755548000335693,3
sa,30,124.51270230611165,124.92471194267272,3
tabu,30,25.334757169087727,8.00162410736084,3
dwave_hybrid,40,13.658772389094034,13.63000226020813,3
sa,40,195.06802026430765,189.99472999572757,3
tabu,40,8.001684427261353,8.00160813331604,3
