method,n,mean_gap,median_gap,max_gap,n_instances
dwave_hybrid,8,0.0,0.0,0.0,3
dwave_qpu,8,0.0,0.0,0.0,3
exact,8,0.0,0.0,0.0,3
sa,8,0.0,0.0,0.0,3
tabu,8,0.005152339547230833,0.0,0.0154570186416925,3
dwave_hybrid,12,0.0,0.0,0.0,3
dwave_qpu,12,0.0,0.0,0.0,3
exact,12,0.0,0.0,0.0,3
sa,12,0.0,0.0,0.0,3
tabu,12,0.002066762965359567,0.0,0.0062002888960787,3
dwave_hybrid,16,0.0007843183501355667,0.0,0.0023529550504067,3
dwave_qpu,16,0.009355081662728066,0.0019607536185125,0.0261044913696717,3
exact,16,0.0,0.0,0.0,3
sa,16,0.004626715391186367,0.0023529550504067,0.0115271911231524,3
tabu,16,0.005843725790402233,0.0040432326295418,0.0115271911231524,3
dwave_hybrid,20,0.005297492171300066,0.0040974262328044,0.0081734134096531,3
dwave_qpu,20,0.07168363011264588,0.0450458745066074,0.1298507973670201,3
exact,20,0.0,0.0,0.0,3
sa,20,0.013529033658317266,0.0149664291228577,0.0189089346520219,3
tabu,20,0.001062918354312,0.0,0.003188755062936,3
